gene name,hyb1,hyb2,hyb3,hyb4
CDH5,7.0,1.0,9.0,8.0
CDH7,8.0,8.0,3.0,1.0
CDH9,5.0,6.0,6.0,8.0
CDHR2,2.0,3.0,6.0,2.0
CDHR4,3.0,2.0,7.0,3.0
CDK1,3.0,5.0,9.0,8.0
CEACAM16,9.0,2.0,7.0,9.0
CEACAM19,2.0,1.0,6.0,9.0
CEACAM21,2.0,3.0,9.0,5.0
CEACAM4,7.0,3.0,1.0,2.0
CELSR1,2.0,1.0,7.0,1.0
CELSR3,4.0,3.0,7.0,5.0
CENPU,1.0,2.0,6.0,9.0
CHAF1B,6.0,3.0,8.0,8.0
CHI3L2,9.0,3.0,5.0,8.0
CHL1,5.0,9.0,1.0,6.0
CHRM2,8.0,3.0,2.0,4.0
CHRM4,5.0,8.0,6.0,1.0
CHST10,9.0,1.0,3.0,4.0
CKAP2L,2.0,2.0,6.0,1.0
CLEC10A,8.0,4.0,9.0,3.0
CLEC4D,7.0,4.0,3.0,5.0
CLEC4M,7.0,7.0,4.0,9.0
CLEC7A,4.0,5.0,7.0,7.0
CLMP,1.0,6.0,7.0,5.0
CLSTN1,4.0,6.0,7.0,8.0
CLSTN3,6.0,2.0,5.0,4.0
CMTM2,1.0,7.0,9.0,8.0
CNR2,3.0,4.0,2.0,9.0
CNTN1,9.0,8.0,9.0,8.0
CNTN3,2.0,7.0,9.0,9.0
CNTN6,2.0,8.0,9.0,1.0
CPA3,5.0,3.0,2.0,1.0
CR2,4.0,3.0,1.0,8.0
CRHR2,9.0,8.0,5.0,4.0
CRTAM,9.0,2.0,4.0,6.0
CSF2RA,8.0,1.0,9.0,9.0
CTAGE1,6.0,4.0,2.0,3.0
CTRC,6.0,6.0,1.0,4.0
CX3CL1,1.0,8.0,7.0,7.0
CXADR,1.0,9.0,7.0,8.0
CXCL17,7.0,1.0,6.0,5.0
CXCR2,9.0,7.0,7.0,5.0
CYFIP2,2.0,5.0,5.0,3.0
DCHS1,7.0,6.0,9.0,4.0
DDR1,6.0,8.0,5.0,1.0
DDX58,1.0,4.0,9.0,5.0
DMBT1,3.0,4.0,6.0,4.0
DPP4,8.0,8.0,6.0,4.0
DRD2,9.0,9.0,3.0,3.0
DRD5,9.0,4.0,3.0,7.0
DSC2,6.0,7.0,1.0,5.0
DSCAML1,2.0,5.0,6.0,4.0
DSG2,2.0,1.0,4.0,7.0
DSG4,3.0,9.0,6.0,9.0
E2F8,8.0,9.0,7.0,6.0
ECSIT,9.0,6.0,1.0,7.0
EDA,2.0,4.0,3.0,9.0
EDAR,1.0,3.0,1.0,5.0
EDNRB,9.0,8.0,6.0,5.0
ELK1,8.0,6.0,7.0,3.0
ENPP3,3.0,3.0,6.0,3.0
ERAL1,6.0,9.0,9.0,6.0
F11R,7.0,4.0,7.0,9.0
F13A1,1.0,6.0,2.0,9.0
F2RL2,6.0,5.0,4.0,6.0
F3,5.0,8.0,7.0,2.0
FADD,5.0,7.0,8.0,2.0
FAM30A,1.0,2.0,4.0,7.0
FAT3,2.0,2.0,1.0,5.0
FBXO22,9.0,7.0,8.0,6.0
FCAR,8.0,7.0,5.0,2.0
FCGR1A,2.0,8.0,8.0,9.0
FCRL1,6.0,2.0,8.0,7.0
FCRL3,5.0,8.0,2.0,6.0
FCRL5,9.0,6.0,3.0,9.0
FFAR1,9.0,5.0,6.0,2.0
FFAR4,5.0,6.0,8.0,1.0
FICD,2.0,5.0,8.0,6.0
FPR1,1.0,6.0,6.0,4.0
FPR3,1.0,4.0,6.0,2.0
FSHR,4.0,3.0,5.0,3.0
FUT4,6.0,9.0,8.0,5.0
FZD1,5.0,4.0,8.0,8.0
FZD5,3.0,6.0,7.0,7.0
G2E3,5.0,6.0,5.0,7.0
GABBR1,9.0,2.0,8.0,1.0
GALR1,5.0,6.0,2.0,4.0
GCGR,2.0,5.0,3.0,1.0
GDF11,9.0,8.0,8.0,7.0
GDF3,4.0,2.0,2.0,8.0
GDF7,2.0,2.0,9.0,4.0
GGT1,7.0,6.0,6.0,1.0
GHSR,7.0,3.0,5.0,6.0
GIMAP5,4.0,1.0,5.0,1.0
GIPR,7.0,8.0,5.0,2.0
GLP2R,9.0,1.0,4.0,5.0
GNRHR,4.0,9.0,8.0,3.0
GP6,1.0,8.0,1.0,1.0
GPBAR1,5.0,4.0,3.0,3.0
GPR1,8.0,5.0,5.0,9.0
GPR107,7.0,4.0,5.0,7.0
GPR12,5.0,2.0,7.0,5.0
GPR135,2.0,7.0,4.0,4.0
GPR139,8.0,1.0,3.0,3.0
GPR142,6.0,7.0,2.0,6.0
GPR146,9.0,3.0,9.0,3.0
GPR149,9.0,7.0,4.0,2.0
GPR150,5.0,7.0,1.0,4.0
GPR152,7.0,3.0,4.0,5.0
GPR156,8.0,7.0,9.0,6.0
GPR158,2.0,2.0,4.0,8.0
GPR162,9.0,2.0,2.0,4.0
GPR173,8.0,3.0,9.0,2.0
GPR176,1.0,4.0,4.0,9.0
GPR18,6.0,5.0,6.0,8.0
GPR19,9.0,6.0,4.0,1.0
GPR22,4.0,4.0,6.0,5.0
GPR27,4.0,9.0,1.0,5.0
GPR31,5.0,1.0,3.0,9.0
GPR33,3.0,8.0,6.0,8.0
GPR37,8.0,1.0,2.0,2.0
GPR39,7.0,4.0,8.0,1.0
GPR45,5.0,4.0,5.0,5.0
GPR52,3.0,1.0,3.0,7.0
GPR6,6.0,8.0,8.0,4.0
GPR62,6.0,5.0,3.0,5.0
GPR65,4.0,8.0,4.0,7.0
GPR75,8.0,5.0,3.0,7.0
GPR79,2.0,3.0,8.0,4.0
GPR84,6.0,7.0,9.0,4.0
GPR87,2.0,8.0,7.0,8.0
GPRC5A,5.0,8.0,3.0,7.0
GPRC5C,5.0,8.0,9.0,4.0
GPRC6A,7.0,6.0,8.0,3.0
GRM2,3.0,1.0,8.0,3.0
GRM5,6.0,4.0,5.0,6.0
GRM8,2.0,1.0,2.0,5.0
GTF3C1,5.0,5.0,3.0,4.0
HAVCR1,6.0,4.0,1.0,2.0
HCK,5.0,4.0,6.0,6.0
HCRTR2,6.0,7.0,3.0,7.0
HEPACAM,3.0,5.0,3.0,2.0
HMMR,1.0,1.0,5.0,7.0
HRH2,8.0,5.0,6.0,1.0
HRH4,1.0,2.0,2.0,5.0
HTR1A,9.0,5.0,5.0,1.0
HTR1D,9.0,1.0,7.0,8.0
HTR1F,4.0,8.0,8.0,2.0
HTR2B,8.0,1.0,8.0,8.0
HTR4,3.0,3.0,5.0,2.0
HTR5BP,6.0,2.0,9.0,8.0
HTR7,4.0,9.0,6.0,1.0
ICAM5,7.0,5.0,8.0,2.0
IFIT1,5.0,7.0,7.0,1.0
IFNAR1,5.0,3.0,1.0,9.0
IGF2R,6.0,2.0,3.0,2.0
IGSF11,4.0,9.0,4.0,8.0
IGSF8,1.0,1.0,7.0,9.0
IL10RB,3.0,5.0,5.0,4.0
IL13RA1,1.0,5.0,6.0,3.0
IL17A,4.0,8.0,7.0,1.0
IL17F,4.0,1.0,9.0,5.0
IL17RB,8.0,1.0,7.0,7.0
IL17RE,6.0,1.0,1.0,8.0
IL18RAP,4.0,7.0,1.0,3.0
IL1RAPL2,9.0,5.0,2.0,7.0
IL1RL2,5.0,9.0,7.0,3.0
IL20,1.0,5.0,4.0,1.0
IL21R,8.0,7.0,4.0,1.0
IL25,5.0,5.0,2.0,3.0
IL31,7.0,9.0,1.0,8.0
IL33,3.0,1.0,5.0,9.0
IL36A,1.0,8.0,6.0,6.0
IL36RN,2.0,6.0,2.0,1.0
IL9R,1.0,5.0,5.0,2.0
INHBE,1.0,1.0,6.0,8.0
IRAK4,1.0,4.0,8.0,4.0
IRGM,6.0,8.0,2.0,7.0
ITGA10,2.0,3.0,4.0,9.0
ITGA2B,7.0,6.0,5.0,9.0
ITGA5,3.0,9.0,9.0,3.0
ITGAL,5.0,2.0,5.0,3.0
ITGAV,5.0,7.0,4.0,7.0
ITGBL1,4.0,7.0,5.0,7.0
IZUMO1,4.0,9.0,5.0,9.0
JAM2,5.0,5.0,4.0,5.0
KCNE3,6.0,5.0,5.0,7.0
KIF20B,3.0,4.0,3.0,1.0
KIR2DL5A,6.0,1.0,5.0,3.0
LAIR1,9.0,2.0,3.0,5.0
LBP,4.0,3.0,6.0,4.0
LCN2,6.0,6.0,5.0,8.0
LGR5,7.0,1.0,8.0,7.0
LHCGR,8.0,9.0,2.0,1.0
LILRA5,3.0,5.0,8.0,7.0
LPAR2,9.0,6.0,2.0,8.0
LPAR4,1.0,9.0,9.0,1.0
LRFN1,7.0,6.0,4.0,8.0
LRFN3,1.0,5.0,8.0,5.0
LRFN5,2.0,7.0,2.0,2.0
LRRC32,5.0,5.0,6.0,7.0
LRRC4B,9.0,7.0,6.0,4.0
LRRN3,4.0,2.0,5.0,2.0
LTA,8.0,5.0,7.0,2.0
LTB4R2,6.0,1.0,3.0,1.0
LTF,6.0,1.0,6.0,4.0
LY9,3.0,4.0,9.0,7.0
MAG,9.0,3.0,8.0,2.0
MAGEB2,6.0,4.0,6.0,7.0
MAGEC2,5.0,4.0,9.0,9.0
MAPK11,7.0,8.0,1.0,7.0
MAPKAPK2,8.0,3.0,6.0,8.0
MAS1L,6.0,8.0,4.0,9.0
MASP2,2.0,9.0,9.0,2.0
MBL2,7.0,5.0,2.0,5.0
MC2R,8.0,5.0,4.0,8.0
MC4R,9.0,6.0,8.0,5.0
MCAM,6.0,2.0,1.0,9.0
MCHR2,4.0,8.0,9.0,3.0
MEFV,7.0,8.0,3.0,9.0
MERTK,2.0,3.0,7.0,3.0
MICB,1.0,6.0,9.0,7.0
MPPED1,7.0,2.0,7.0,7.0
MPZL2,9.0,8.0,4.0,3.0
MRC2,5.0,6.0,3.0,5.0
MRGPRE,2.0,3.0,2.0,7.0
MRGPRX2,6.0,1.0,8.0,6.0
MSH4,2.0,6.0,6.0,5.0
MSTN,3.0,3.0,2.0,8.0
MTNR1B,2.0,4.0,6.0,3.0
NCAM2,7.0,7.0,8.0,4.0
NCF4,7.0,2.0,3.0,3.0
NCR1,5.0,3.0,6.0,5.0
NCR3,9.0,4.0,7.0,2.0
NECTIN3,2.0,8.0,3.0,4.0
NEFL,8.0,3.0,4.0,6.0
NEK2,1.0,1.0,8.0,1.0
NFASC,4.0,4.0,5.0,4.0
NFATC3,7.0,9.0,9.0,7.0
NFIL3,4.0,1.0,1.0,6.0
NINJ2,6.0,5.0,8.0,1.0
NLGN2,1.0,7.0,6.0,5.0
NLRC5,3.0,9.0,5.0,8.0
NMBR,9.0,3.0,1.0,4.0
NMUR2,8.0,4.0,6.0,9.0
NOD2,3.0,6.0,2.0,2.0
NPBWR2,7.0,3.0,3.0,4.0
NPFFR2,4.0,6.0,5.0,6.0
NPY1R,8.0,4.0,7.0,1.0
NPY5R,1.0,1.0,4.0,6.0
NRCAM,5.0,7.0,5.0,8.0
NRXN1,3.0,7.0,8.0,9.0
NRXN3,1.0,6.0,3.0,1.0
NTM,9.0,6.0,7.0,4.0
NTSR2,3.0,8.0,7.0,9.0
OAS1,1.0,3.0,2.0,6.0
OPCML,3.0,2.0,2.0,7.0
OPN3,3.0,9.0,1.0,4.0
OPN5,4.0,7.0,4.0,6.0
OPRK1,3.0,8.0,9.0,2.0
OPRM1,9.0,2.0,1.0,3.0
OXGR1,7.0,8.0,4.0,1.0
P2RY1,5.0,2.0,4.0,2.0
P2RY11,4.0,6.0,4.0,5.0
P2RY13,9.0,4.0,2.0,6.0
P2RY2,7.0,9.0,6.0,4.0
P2RY6,9.0,6.0,6.0,3.0
PASD1,7.0,5.0,1.0,4.0
PBK,2.0,2.0,7.0,2.0
PCDH10,3.0,7.0,4.0,5.0
PCDH15,4.0,3.0,4.0,2.0
PCDH18,5.0,3.0,4.0,3.0
PCDH7,4.0,7.0,3.0,5.0
PCDH9,6.0,6.0,4.0,7.0
PCDHA10,2.0,4.0,2.0,8.0
PCDHA12,2.0,5.0,2.0,9.0
PCDHAC1,7.0,3.0,8.0,9.0
PCDHB1,9.0,9.0,4.0,4.0
PCDHB14,6.0,4.0,9.0,1.0
PCDHB16,1.0,5.0,2.0,8.0
PCDHB18P,7.0,1.0,1.0,9.0
PCDHB2,5.0,6.0,4.0,6.0
PCDHB4,7.0,5.0,9.0,3.0
PCDHB6,3.0,6.0,3.0,3.0
PCDHGA1,4.0,1.0,8.0,4.0
PCDHGA11,3.0,8.0,3.0,5.0
PCDHGA2,4.0,2.0,1.0,7.0
PCDHGA4,5.0,6.0,7.0,9.0
PCDHGA6,6.0,7.0,6.0,1.0
PCDHGA8,8.0,4.0,3.0,6.0
PCDHGB1,7.0,6.0,2.0,6.0
PCDHGB3,5.0,5.0,1.0,2.0
PCDHGB6,4.0,2.0,4.0,1.0
PCDHGB8P,2.0,5.0,9.0,7.0
PCDHGC3,8.0,6.0,9.0,5.0
PCDHGC5,3.0,1.0,7.0,2.0
PI16,8.0,7.0,2.0,8.0
PIMREG,8.0,3.0,8.0,1.0
PLXNC1,9.0,4.0,1.0,5.0
POLA1,4.0,1.0,3.0,8.0
POU2AF1,2.0,1.0,5.0,8.0
PRAME,7.0,1.0,7.0,6.0
PRKCD,4.0,7.0,7.0,9.0
PRLHR,8.0,6.0,5.0,1.0
PROKR1,1.0,9.0,1.0,2.0
PSEN1,8.0,9.0,1.0,9.0
PSMB10,6.0,3.0,2.0,2.0
PTAFR,2.0,3.0,3.0,8.0
PTGDR2,6.0,5.0,7.0,9.0
PTGER3,9.0,3.0,6.0,9.0
PTGFRN,5.0,6.0,1.0,3.0
PTH1R,1.0,4.0,5.0,1.0
PTPRJ,5.0,3.0,7.0,6.0
PYCR1,2.0,2.0,8.0,3.0
QRFPR,2.0,6.0,5.0,4.0
RAG1,8.0,5.0,9.0,4.0
RELB,1.0,1.0,3.0,5.0
REPS1,6.0,4.0,7.0,8.0
RHAG,1.0,4.0,2.0,7.0
RHO,2.0,2.0,3.0,7.0
RIPOR2,4.0,9.0,2.0,6.0
RORC,1.0,9.0,4.0,5.0
RRM1,3.0,4.0,1.0,8.0
RXFP2,7.0,6.0,1.0,5.0
RXFP4,3.0,2.0,5.0,1.0
S1PR2,6.0,3.0,6.0,6.0
S1PR4,7.0,6.0,7.0,2.0
SBNO2,8.0,2.0,3.0,4.0
SDC1,7.0,8.0,7.0,4.0
SELP,6.0,9.0,3.0,9.0
SEMA7A,2.0,2.0,5.0,9.0
SERPINB2,7.0,2.0,5.0,5.0
SH2B2,5.0,7.0,3.0,6.0
SIGLEC1,8.0,8.0,1.0,8.0
SIGLEC11,2.0,6.0,3.0,2.0
SIGLEC17P,6.0,4.0,3.0,4.0
SIGLEC21P,9.0,7.0,5.0,3.0
SIGLEC30P,6.0,2.0,7.0,6.0
SIGLECL1,4.0,9.0,9.0,4.0
SIRPB1,5.0,7.0,9.0,3.0
SLAMF1,1.0,2.0,5.0,8.0
SLAMF7,9.0,2.0,9.0,2.0
SLC4A1,7.0,2.0,6.0,6.0
SMPD3,9.0,9.0,8.0,8.0
SPA17,7.0,7.0,1.0,6.0
SPIB,7.0,9.0,4.0,2.0
SPN,4.0,1.0,2.0,7.0
SSTR2,2.0,5.0,1.0,8.0
SSTR4,8.0,3.0,7.0,9.0
ST6GAL1,4.0,9.0,3.0,7.0
STAT6,6.0,2.0,6.0,5.0
SUSD3,2.0,8.0,4.0,5.0
TAAR4P,7.0,2.0,1.0,1.0
TAB1,1.0,2.0,7.0,1.0
TACR1,9.0,5.0,3.0,8.0
TACR3,1.0,7.0,2.0,1.0
TAP2,6.0,5.0,1.0,3.0
TAS1R2,3.0,6.0,8.0,8.0
TAS2R1,5.0,4.0,2.0,2.0
TAS2R3,6.0,6.0,2.0,5.0
TAS2R39,2.0,6.0,9.0,8.0
TAS2R40,5.0,8.0,4.0,8.0
TAS2R5,3.0,2.0,8.0,4.0
TBK1,9.0,4.0,9.0,4.0
TCL1A,3.0,4.0,8.0,6.0
TFAM,4.0,4.0,8.0,7.0
THPO,6.0,2.0,4.0,3.0
TICAM1,7.0,3.0,6.0,7.0
TK1,2.0,6.0,1.0,9.0
TLR10,2.0,7.0,8.0,8.0
TLR5,9.0,3.0,3.0,6.0
TLR7,1.0,6.0,8.0,6.0
TMEM97,3.0,8.0,2.0,4.0
TNFRSF11A,2.0,4.0,8.0,5.0
TNFRSF12A,4.0,4.0,2.0,1.0
TNFRSF13C,4.0,5.0,4.0,4.0
TNFRSF21,4.0,5.0,1.0,1.0
TNFRSF8,5.0,3.0,9.0,8.0
TNFSF14,4.0,3.0,2.0,9.0
TNFSF8,3.0,3.0,8.0,5.0
TOX,2.0,4.0,1.0,7.0
TPX2,4.0,8.0,3.0,6.0
TREM1,6.0,6.0,9.0,3.0
TRHR,9.0,8.0,7.0,6.0
TSPAN32,7.0,8.0,9.0,6.0
UBR7,4.0,1.0,4.0,9.0
UNC5A,3.0,9.0,3.0,6.0
UNC5D,2.0,9.0,5.0,7.0
USP1,5.0,2.0,2.0,9.0
VAV1,3.0,6.0,4.0,4.0
VEGFB,6.0,8.0,3.0,8.0
VIPR2,7.0,7.0,5.0,1.0
VSIG1,4.0,7.0,6.0,8.0
VSIG4,2.0,9.0,2.0,4.0
WDR76,2.0,9.0,8.0,1.0
ZAP70,6.0,9.0,1.0,7.0
ZNF205,3.0,1.0,6.0,1.0
