gene name,hyb1,hyb2,hyb3,hyb4
PDIA6,3.0,4.0,2.0,9.0
PECAM1,9.0,8.0,9.0,8.0
PIK3IP1,2.0,7.0,9.0,9.0
PRNP,2.0,8.0,9.0,1.0
PSMB7,5.0,3.0,2.0,1.0
PSMB8,4.0,3.0,1.0,8.0
PSMD7,9.0,8.0,5.0,4.0
PTGER4,9.0,2.0,4.0,6.0
PYCARD,8.0,1.0,9.0,9.0
RGS1,6.0,4.0,2.0,3.0
RNASE6,6.0,6.0,1.0,4.0
RNF149,1.0,8.0,7.0,7.0
RORA,1.0,9.0,7.0,8.0
RPA2,7.0,1.0,6.0,5.0
RPN2,9.0,7.0,7.0,5.0
RUNX3,2.0,5.0,5.0,3.0
SELL,7.0,6.0,9.0,4.0
SERPINA1,6.0,8.0,5.0,1.0
SERPING1,1.0,4.0,9.0,5.0
SIGIRR,3.0,4.0,6.0,4.0
SKAP1,8.0,8.0,6.0,4.0
SLBP,9.0,9.0,3.0,3.0
SLC25A3,9.0,4.0,3.0,7.0
SMC4,6.0,7.0,1.0,5.0
SPOCK2,2.0,5.0,6.0,4.0
TANK,2.0,1.0,4.0,7.0
TAP1,3.0,9.0,6.0,9.0
TAPBP,8.0,9.0,7.0,6.0
TCF4,9.0,6.0,1.0,7.0
TGFBI,2.0,4.0,3.0,9.0
THBD,1.0,3.0,1.0,5.0
THY1,9.0,8.0,6.0,5.0
TNFRSF1A,8.0,6.0,7.0,3.0
TNFRSF1B,3.0,3.0,6.0,3.0
TNFSF13B,6.0,9.0,9.0,6.0
TRAC,7.0,4.0,7.0,9.0
TREM2,1.0,6.0,2.0,9.0
TUBB4B,6.0,5.0,4.0,6.0
VPS28,5.0,8.0,7.0,2.0
XBP1,5.0,7.0,8.0,2.0
YBX3,1.0,2.0,4.0,7.0
YTHDF2,2.0,2.0,1.0,5.0
